코드	질문	label
254B	코로나 휴유증 치료가 보험이 되는걸 의사가 알고 있는지 알려줘	312
86A	개인 방역 보조 수칙에 대해 알려줘 	502
245A	자가격리 시 코로나가 아닌 다른 질병으로 아퍼도 치료비 지원이 되나요?	286
261A	코로나 잠복기는 얼마나 되는지 알려주세요	329
119A	코로나19에 관한 루머를 접하게 되면 어떻게 대처하는 것이 좋을까요?	32
263A	코로나 걸렸었는데 다시 건강해질 수 있나요?	331
143C	타국에서는 출발 할때 건강에 대한 질문을 하나요?	87
85A	감기증세랑 코로나 증세 구분이 가능해?	501
20A	비상 운영 계획에는 어떤 것들이 있어야 하는거죠?	226
44C	코로나 감염 경로가 어떻게되죠?	405
270A	코로나란 질병은 어떤건가요?	349
91A	코로나 예방이 마스크 만으로 가능해?	511
99D	거리두기 2.5단계 키즈 카페	526
4B	상기도 검체에 대한 정보가 궁금해 	421
249B	코로나 때문에 합병증이 악화 되었는데 격리입원치료비를 받을 수 있나요?	293
5B	응급용 확진 검사 시 얼마?	449
12B	코로나 검사 결과 정확한가요?	56
19A	다른 나라 학교 개학 위한 조치 	203
54B	아이들이 코로나 걸리면 어떻게 됨?	434
246A	주민등록이 만기된 사람의 격리입원 치료비 지원절차는 어떻게 되나요?	287
207A	감염자와 접촉하면 저는 어떤 연락을 받나요?	218
58D	유리 표면에서 코로나-19 바이러스가 생존할 수 있는 기간?	443
164A	렌즈 코로나 예방	139
44A	택배 코로나	403
273C	외국에 코로나 치료가 완료된 사람은 총 얼마나 되나요?	358
33A	교내에서 식사 시 지켜야 될 것	380
82A	요양원에 애완동물하고 같이 있는데 코로나때문에 위험할 수 있을까요?	495
30B	휴교 기간이 길어질 때 과외 활동	376
44C	가장 흔하게 코로나에 걸리는 방식이 어떻게 되나요?	405
9B	열 스캐너가 코로나 잠복기인 경우를 알아낼 수 있을까요?	530
83C	유증상자가 다른 사람과 같이 살 때 화장실은 어떡하죠?	498
19B	덴마크는 대면하습을 어떻게 하는지 알려줘	204
25A	원격 수업 일 때 학생 과제 확인이 어려울 때 학생부 기재방법?	327
281A	집에서 코로나에 걸린지 확인할 수 있나요?	370
103A	생활 속 거리두기 구성 요소 설명	5
45B	기저 질환 때문에 아프면 어떡하죠?	407
147B	얼마나 체온이 높아야 항공기 탑승이 거절되나요?	94
231B	설사가 있는데 코로나로 봐도 되나요?	264
102A	거리두기와 생활 방역	4
32B	CDC가 제공한 교내 코로나 관련 계획을 위한 지침으로는 어떤것들이 있나요?	379
86A	방역을 위해서 각자가 지켜야하는 4대 보조 수칙	502
115B	밥 먹으러 갈 때 거리두기 위해 어떤 것들 지켜야해?	26
162B	코로나 비상용품 준비	137
257A	코로나 블루	318
124A	어떻게 하면 아이들을 코로나로부터 지킬 수 있을까?	43
99C	거리두기 2.5단계일 때 카페 이용은 어떻게 해야해?	525
262A	코로나가 성적 행위를 통해 전파 될 수 있나요?	330
95A	미세 먼지 많은날 환기	519
83C	코로나 유증상자랑 같이 살 때 화장실 어떻게 해야해?	498
261A	보통 코로나는 얼마나 잠복하나요?	329
0B	숨참기로 코로나 진단이 가능한가요?	1
2B	코로나-19 유전자 검사 결과가 나오는데 얼마나 걸려요?	374
57B	독감 백신이 코로나에도 효과 있음?	439
13A	선별 검사와 확진 검사 동시 진행	76
275A	한국 입국 시 검역 절차	362
0A	몇초간 숨참기 힘든데 코로나일까요?	0
251A	코로나에 걸리면 국가에서 치료에 사용한 돈을 주나요?	305
8B	어디서 가래 채취해야 안전해?	509
8B	혼자 가래를 채취해야 하는데 어디서 하면 괜찮을까요?	509
88A	다같이 쓰는 비누 사용해도 안전해?	504
3A	코로나 19 검사는 어디에서 받을 수 있나요?	391
1C	가래있는 환자 어떤 것 채취?	208
262A	코로나가 섹스를 통해 퍼지기도 하나요?	330
167A	코로나 바이러스를 죽이고 싶은데 렌즈용 알코올을 써도 되나요?	143
10B	선별 검사 결과 양성이라 추가로 확진 검사를 해야 하는데 급여 청구 방법이 궁금합니다. 	17
204B	코로나 사망자 장례식에서 조심해야 할 사항들을 알려주세요.	215
49C	자외선 소독이 corona 확산을 막을 수 있나?	418
154B	확진자가 탔던 여객기 자리는 어떻게 소독하나요?	118
132C	이 시국에 병원가면 코로나로 위험할까요?	61
256B	의료진 결정에 개입이 가능한가요?	316
73A	이 시국에 동물 제품 수입할 때 어떻게 취급하면 돼요?	476
48D	청소 후 표면에 남아있는 병원체를 소독하면 더 안전한가요?	415
139A	family가 스트레스가 생겼는데 어떻게 하죠?	73
2B	언제 코로나 검사 결과 	374
149B	공항 재검사 체온 기준 좀 알려주세요	101
152B	선박안에 오래 있으면 코로나 감염 되기가 쉽나요?	113
3A	검사 장소 	391
86A	개인방역 4대 보조수칙은 무엇인가요?	502
136D	호흡이 어려운데 마스크 꼭 써요?	69
250C	제증명료도 코로나 비용 지원에 포함되는지 알려주세요	301
112A	코로나 기간에 엘리베이터 이용 시 어떤거 조심하면 되나요?	20
254A	코로나 후유증 치료에 건강보험이 적용되는지 궁금해요	311
135A	어린이들은 코로나에 얼마나 약한가요?	65
248A	격리입원치료비 지원 대상자를 알려주세요	291
52B	경로 모르는 환자면 소독은?	430
56B	corona랑 독감이랑 치사율 누가 더 높음?	437
107A	코로나를 손소독제 만으로 완벽하게 예방할 수 있음?	11
13A	선별 검사 확진 검사 같이는 못받나요?	76
186A	증상 없었던 사람이 확진 받고 격리해제후 다시 확진이된 경우 어떻게 되나요?	176
91A	마스크만 있으면 코로나 완전한 예방이 됨?	511
1C	가래가 있을 때 채취하는 것 	208
0B	숨참기로 코로나 판별 가능한가요?	1
256A	코로나 진단 검사량 조작	315
210D	코로나 응급 경고 징후에 대해 알려주세요	230
249B	코로나 합병증도 격리입원 치료 비용을 받을 수 있나요?	293
43D	몸에 안좋은 소독제는 4급 암모늄 화합물 소독제이지?	401
231B	장염이 생겼는데 코로나 증상인가요?	264
102A	생활 방역이랑 생활 속 거리두기랑 어떻게 다름?	4
231A	체온이 정상인데 코로나인줄은 어떻게 알 수 있을까요?	263
241A	격리입원치료비는 어떤 분야를 지원해주는건가요?	281
153A	항공 여행중 감염 확률이 높아질 수 있나요?	114
99A	사회적 거리두기 2.5단계란?	523
256A	검사결과를 조작 하기도 하나요?	315
8A	스스로 가래를 채취해야 하는 경우 음압실에서 해야 해요?	508
51B	안전한 화학물질이 살균터널에서 나오나요?	427
160A	코로나에 안걸리고 싶은데 내가 할 수 있는게 뭔가요?	132
190A	공동격리 구역 환자 기준	183
94C	전자레인지로 마스크 소독이 될까?	516
166A	코로나 버텨내면 이제 면역이 생긴건가요?	142
118A	동거인이 호흡기 증상이 있는데 어떡하죠?	29
100A	사회적 거리두기 2단계 지침 알려줘	2
254A	코로나로 후유증이 생겼는데 건강보험이 적용되는지 알려주세요	311
31A	학생들이 코로나 막기 위해서 뭘 할 수 있어?	377
33B	학생들이 교내에서 밥을 먹야하 하는데 일회용품을 사용할 수 없으면 어떡하죠?	381
228A	코로나19 폐렴은 콧물이 없는걸로 식별할 수 있나요?	257
271A	어떤게 코로나 바이러스죠?	351
99A	2.5단계 거리두기 지침에 대해 설명해줘	523
99E	사회적 거리두기 2.5단계 수도권	527
169A	BCG가 코로나 약이 될수 있을까요?	146
181A	나중에 격리면제서 발급이 가능한지 알려주세요	167
249B	코로나로 인한 합병증 악화도 치료비 지원이 있나요?	293
250C	제증명료가 격리입원치료비에 포함되어 있나요?	301
212A	밀접 접촉해도 마스크만 쓰면 괜찮은거 아닌가요	234
103C	어떤 구성요소가 있어요? 집단 방역은?	7
44B	코로나가 가장 퍼지기 쉬운 경로는 무엇이죠?	404
139A	스트레스가 늘었는데 어떻게 대처할 수 있을까요?	73
233A	어떤사람들이 코로나에 취약한 사람들인가요?	267
24D	과제 중심 수업 출석 확인 방식 	298
77A	야생동물 코로나 전파	485
63A	개를 미국으로 데리고 가도 되나요?	457
45B	기저 질환으로 아플 때	407
251C	코로나 권고사항을 지키지 않아도 치료비용은 받을 수 있는건가요?	307
194D	자가격리 중엔 어떻게 환경을 정리하나요?	194
155C	코로나 검사를 다른 나라에서도 받을 수 있나요?	123
11B	보통 어느정도 시간이 지나야 SARS-CoV-2 항체가 형성될까요?	34
234B	COVID-19 증상이 심해질 확률에 대해 알려줘요	271
176B	아이를 가진 사람들이 호흡기로 코로나에 걸릴 가능성이 더 높나요?	158
204B	코로나 장례식 주의사항	215
68B	코로나가 유행하는 지금 개공원에 갈 때 어떤 것들을 지켜야 하나요?	467
118A	집에 코막힘 증세가 있는 사람이 있는데 어떻게 생활해야해?	29
8A	혼자 가래를 채취해야 할 때에도 음압실에 가야해요?	508
210A	집에 같이 사는 가족이 코로나에 걸리면 어떻게 대처하는게 좋을까요?	227
156B	외국에서 돌아왔는데 얼마나 대기해야하나요?	125
149B	재검사 기준 체온	101
113A	열 나면 어떡해?	21
5D	조사 대상 유증상자라고 알렸을 때 X-ray 값은 본인 부담이에요?	451
64B	안전을 위해서 사냥꾼들이 지켜야하는 수칙 	459
182B	코호트 격리 해제가 되려면 기준에 들어가야하나요?	171
167A	코로나 바이러스 렌즈 알코올로 예방	143
73C	어떤 생물 및 동물 제품들을 USDA가 규제해요?	478
259A	온도에 따라 코로나 퍼지는 속도가 달라지나요?	321
210A	가족이 아프면 어떻게 하나요?	227
280A	고마워요	369
195C	격리 위반시 징역	197
27B	온라인 수업이어도 수행평가는 하나요?	368
153C	어떻게 여행 이동중에 바이러스에 노출 되나요?	116
52B	확진자 경로를 모를 때 소독	430
7A	코로나 검사 대상자에 대해 알려주세요 	490
43C	염소계 물질소독제 건강 	400
251B	정부 어느기관에서 코로나 치료비용을 지원하나요?	306
103A	어떤 것들로 생활 속 거리두기가 구성되어 있어요?	5
119A	신종 코로나 바이러스에 관한 루머에 믿어도 되나요?	32
153B	공항 안에서도 코로나에 걸릴 수 있나요?	115
252B	코로나 치료약이 있는지 궁금해요	309
34A	코로나 19 예방위한 학교의 대비책 	383
136C	마스크 사용이 힘든 사람도 마스크 착용은 필수 인가요?	68
29A	지역 내 감염 정도가 보통인 경우 예방을 위해 학교가 할 수 있는 일	372
142B	헤파필터 설명 좀여	83
228B	코로나 폐렴은 마른 기침이 없는걸로 식별할 수 있나요?	258
103C	집단 방역의 구성 요소에 대해 설명해줘	7
167B	코로나 바이러스 제거에 MPS를 사용해도 되는건가요?	144
85A	COVID-19 증상과 감기 증상 어떻게 구별해요?	501
1B	상기도 검체는 꼭 필요한 건가요?	207
107B	어떻게 손 세정제 써야 올바른거야?	12
21B	휴교 결정은 학교가 하나요?	246
212B	코로나 전염을 막는데 마스크가 효과적인가요?	235
48A	소독과 청소가 뭐가 다른지 알려주세요 	412
2A	코로나 유전자 검사받는데 얼마나 걸릴까요?	373
195B	집에 있으라고 했는데 외출하면 벌금을 얼마나 내야하나요?	196
257A	코로나 블루란 무엇을 말하는지 알려주세요	318
3A	어디가면 코로나 검사 해줘요?	391
145A	미국인들이 여행하면 제한사항들이 있나요?	90
134A	현재 학교 학생들에게 밥이 지급되는지 알고 싶어요	64
26B	원격 수업 시 교과교사는 출결 처리를 어떻게 하나?	347
52B	동선 파악 못하면 소독은?	430
115B	음식점 이용할 때 주의사항	26
264A	코로나가 식품을 통해 전파 될 수 있는지 궁금해요	333
232B	코로나도 후유증이 있나요?	266
179B	이시국에 수유를 어떻게 하는게 좋을까요?	163
184A	공익 때문에 격리면제가 되었는데 중도 출국이 가능한가요?	174
191A	한국을 떠나고 싶은데 자가격리 중이고 외국인이에요	185
220A	접촉자는 어떻게 조치가 되나요?	247
218B	확진자와 접촉한 사람은 왜 추적하는건가요?	242
122B	올바른 기침 예절에 대해 알려주세요	41
24D	과제 수행 중심 수업은 출석 어떻게 확인하죠?	298
236B	담배로 코로나에 감염될 수 있나요?	275
73D	생물 및 동물 제품 중 FWS가 규제하는 건 어떤게 있어요?	479
128B	병원 규정상 자녀와 함께 못있는 경우 어떻게 해야해?	52
162B	집에 COVID-19 대비 준비해야 할것들이 뭐가 있을까요?	137
273B	코로나 해외 사망자 수는 몇 명인가요?	357
232B	코로나는 어떤 후유증을 남기나요?	266
